length	cima	cima_log
10000	0.074000	0.002000
20000	0.272000	0.002000
30000	0.469000	0.001000
40000	0.263000	0.000000
50000	0.531000	0.001000
60000	0.404000	0.001000
70000	0.715000	0.002000
80000	0.524000	0.000000
90000	0.613000	0.001000
100000	0.678000	0.001000
110000	0.753000	0.001000
120000	0.819000	0.001000
130000	0.789000	0.001000
140000	0.716000	0.001000
150000	0.707000	0.001000
160000	0.808000	0.001000
170000	0.807000	0.001000
180000	0.879000	0.001000
190000	0.973000	0.001000
200000	1.065000	0.001000
210000	2.815000	0.002000
220000	2.044000	0.001000
230000	1.374000	0.001000
240000	1.438000	0.001000
250000	1.471000	0.001000
260000	1.414000	0.001000
270000	1.327000	0.000000
280000	1.282000	0.000000
290000	1.160000	0.001000
300000	1.152000	0.000000
310000	1.576000	0.001000
320000	1.355000	0.000000
330000	1.003000	0.001000
340000	1.192000	0.001000
350000	1.811000	0.001000
360000	1.808000	0.000000
370000	1.593000	0.000000
380000	1.665000	0.001000
390000	2.089000	0.000000
400000	1.597000	0.001000
410000	1.689000	0.002000
420000	1.546000	0.001000
430000	1.386000	0.000000
440000	1.603000	0.001000
450000	1.537000	0.001000
460000	1.625000	0.000000
470000	1.975000	0.001000
480000	1.726000	0.001000
490000	1.721000	0.001000
500000	1.384000	0.000000
510000	1.313000	0.001000
520000	1.383000	0.000000
530000	1.355000	0.000000
540000	1.702000	0.001000
550000	1.571000	0.001000
560000	2.857000	0.000000
570000	1.706000	0.000000
580000	1.522000	0.001000
590000	1.506000	0.001000
600000	1.527000	0.001000
610000	1.568000	0.001000
620000	1.791000	0.000000
630000	1.992000	0.000000
640000	2.191000	0.000000
650000	2.130000	0.001000
660000	1.754000	0.001000
670000	1.761000	0.001000
680000	1.800000	0.001000
690000	1.853000	0.001000
700000	1.926000	0.001000
710000	2.003000	0.001000
720000	1.963000	0.001000
730000	2.231000	0.001000
740000	2.253000	0.001000
750000	2.051000	0.001000
760000	2.167000	0.000000
770000	2.230000	0.001000
780000	2.901000	0.001000
790000	2.381000	0.001000
800000	2.659000	0.001000
810000	2.583000	0.001000
820000	2.311000	0.002000
830000	3.035000	0.001000
840000	2.515000	0.000000
850000	2.522000	0.001000
860000	2.810000	0.001000
870000	2.961000	0.001000
880000	2.767000	0.001000
890000	3.908000	0.001000
900000	3.366000	0.001000
910000	4.765000	0.001000
920000	3.436000	0.001000
930000	3.245000	0.000000
940000	2.565000	0.000000
950000	2.455000	0.000000
960000	4.531000	0.002000
970000	3.100000	0.001000
980000	3.102000	0.001000
990000	3.132000	0.001000
